Date,Entity,Site,Commodity,GHGEmissions_tCO2e,WaterUse_m3,Energy_kWh,TRIFR,LTIFR,Scenario
2023-02-01,Quebec,Mill B,Gold,2147.1,14599.1,931590.6,4.43,1.01,Actual
2023-02-01,Quebec,Mill B,Copper,2689.1,9110.0,780957.8,1.17,2.77,Actual
2023-02-01,Quebec,Mill B,Zinc,2285.7,18483.2,568596.6,1.6,0.46,Budget
2023-02-01,Quebec,Mill B,Nickel,2879.4,12833.6,795976.9,2.08,2.97,Budget
2023-02-01,Ontario,North Pit,Gold,3462.6,15321.9,654516.1,2.02,0.88,Budget
2023-02-01,Ontario,North Pit,Copper,2020.8,16346.0,983249.0,2.4,1.35,Budget
2023-02-01,Ontario,North Pit,Zinc,3722.5,17848.1,826740.3,3.97,0.98,Budget
2023-02-01,Ontario,North Pit,Nickel,3201.0,10223.3,1168371.8,1.74,2.6,Budget
2023-02-01,Ontario,South Pit,Gold,3759.1,11492.7,1162291.2,4.02,0.44,Actual
2023-02-01,Ontario,South Pit,Copper,1920.5,15831.7,782489.2,3.43,2.0,Actual
2023-02-01,Ontario,South Pit,Zinc,1716.3,9054.6,516582.4,2.91,0.95,Actual
2023-02-01,Ontario,South Pit,Nickel,3273.4,11721.3,1140554.7,0.92,0.76,Budget
2023-02-01,Ontario,Mill A,Gold,2891.8,16581.3,604823.6,4.49,1.89,Budget
2023-02-01,Ontario,Mill A,Copper,3952.6,17936.4,587917.4,2.56,2.26,Budget
2023-02-01,Ontario,Mill A,Zinc,2328.2,14391.7,1312568.4,3.67,1.41,Actual
2023-02-01,Ontario,Mill A,Nickel,3652.9,17459.5,651764.8,3.5,0.23,Budget
2023-02-01,Ontario,Mill B,Gold,2976.6,17174.3,1008696.5,1.01,0.81,Budget
2023-02-01,Ontario,Mill B,Copper,2906.0,9965.2,810654.6,1.3,1.97,Actual
2023-02-01,Ontario,Mill B,Zinc,2678.1,18857.6,1263883.4,3.69,1.15,Actual
2023-02-01,Ontario,Mill B,Nickel,4521.3,17805.3,641144.0,3.51,0.84,Actual
2023-02-01,British Columbia,North Pit,Gold,4051.5,18042.8,600479.9,2.63,1.72,Budget
2023-02-01,British Columbia,North Pit,Copper,6311.9,16980.6,1446841.5,1.24,3.47,Actual
2023-02-01,British Columbia,North Pit,Zinc,2864.0,13134.5,868423.1,0.84,1.78,Budget
2023-02-01,British Columbia,North Pit,Nickel,2953.7,8809.1,687838.2,1.97,0.57,Actual
2023-02-01,British Columbia,South Pit,Gold,2427.8,10555.4,736934.1,3.85,2.68,Budget
2023-02-01,British Columbia,South Pit,Copper,2730.3,9882.1,1051293.5,3.47,2.83,Actual
2023-02-01,British Columbia,South Pit,Zinc,2749.3,13807.6,966446.8,2.24,2.29,Budget
2023-02-01,British Columbia,South Pit,Nickel,2359.0,8692.0,629208.4,2.11,0.45,Actual
2023-02-01,British Columbia,Mill A,Gold,2617.2,14237.4,784006.2,2.08,2.63,Budget
2023-02-01,British Columbia,Mill A,Copper,3058.1,13756.1,615147.2,2.5,0.66,Budget
2023-02-01,British Columbia,Mill A,Zinc,3882.8,13402.8,576049.3,3.12,1.75,Budget
2023-02-01,British Columbia,Mill A,Nickel,4550.3,19063.1,725623.8,1.54,0.37,Actual
2023-02-01,British Columbia,Mill B,Gold,4553.8,20519.3,706910.2,2.11,3.04,Actual
2023-02-01,British Columbia,Mill B,Copper,3521.6,7052.2,672160.7,2.55,2.15,Actual
2023-02-01,British Columbia,Mill B,Zinc,3431.7,18979.4,1054513.6,1.54,1.26,Budget
2023-02-01,British Columbia,Mill B,Nickel,6162.9,15204.2,975760.4,2.82,3.47,Actual
2023-02-01,Nova Scotia,North Pit,Gold,3406.5,11525.7,508954.6,2.41,1.5,Actual
2023-02-01,Nova Scotia,North Pit,Copper,1762.0,13004.4,626598.3,2.71,0.25,Actual
2023-02-01,Nova Scotia,North Pit,Zinc,4883.6,10387.6,1516234.3,4.04,1.33,Actual
2023-02-01,Nova Scotia,North Pit,Nickel,2676.1,10219.8,435370.8,2.33,0.68,Actual
2023-02-01,Nova Scotia,South Pit,Gold,3628.4,8163.7,520581.5,4.98,1.44,Budget
2023-02-01,Nova Scotia,South Pit,Copper,3863.6,16951.1,858450.3,6.17,0.44,Actual
2023-02-01,Nova Scotia,South Pit,Zinc,3104.3,10080.8,677657.5,2.66,1.81,Budget
2023-02-01,Nova Scotia,South Pit,Nickel,4179.7,18134.7,959980.1,2.23,0.88,Budget
2023-02-01,Nova Scotia,Mill A,Gold,3514.1,15729.4,994359.4,3.6,1.28,Budget
2023-02-01,Nova Scotia,Mill A,Copper,2603.5,15207.3,691775.7,2.87,2.01,Actual
2023-02-01,Nova Scotia,Mill A,Zinc,2676.6,14027.3,803083.1,1.85,2.66,Actual
2023-02-01,Nova Scotia,Mill A,Nickel,3737.6,12118.5,1068773.8,3.0,1.1,Budget
2023-02-01,Nova Scotia,Mill B,Gold,4301.2,10567.1,1039635.7,2.87,1.06,Actual
2023-02-01,Nova Scotia,Mill B,Copper,2102.3,10103.4,709080.5,2.63,0.9,Budget
2023-02-01,Nova Scotia,Mill B,Zinc,2345.9,19859.7,1029642.8,2.52,2.31,Budget
2023-02-01,Nova Scotia,Mill B,Nickel,4736.7,11024.0,939843.0,4.97,1.81,Budget
2023-03-01,Canada,North Pit,Gold,3147.1,15491.4,962178.5,2.6,0.62,Budget
2023-03-01,Canada,North Pit,Copper,2992.9,18565.1,850920.7,4.32,0.48,Actual
2023-03-01,Canada,North Pit,Zinc,4114.8,18944.3,937956.2,2.44,2.56,Actual
2023-03-01,Canada,North Pit,Nickel,2648.9,12019.9,1195333.9,5.61,3.38,Actual
2023-03-01,Canada,South Pit,Gold,3175.8,12795.5,1048637.5,4.58,2.93,Budget
2023-03-01,Canada,South Pit,Copper,4218.1,17232.2,926323.4,2.78,0.35,Budget
2023-03-01,Canada,South Pit,Zinc,4462.5,16141.4,1134100.9,4.78,1.33,Budget
2023-03-01,Canada,South Pit,Nickel,3428.7,11989.5,951187.9,0.83,2.99,Budget
2023-03-01,Canada,Mill A,Gold,2614.2,14538.5,671747.2,0.53,1.08,Budget
2023-03-01,Canada,Mill A,Copper,2670.6,6342.2,629410.6,0.68,1.31,Actual
2023-03-01,Canada,Mill A,Zinc,4060.0,14231.3,1130720.4,2.67,1.29,Actual
2023-03-01,Canada,Mill A,Nickel,2971.8,17536.3,1155696.3,3.44,2.26,Budget
2023-03-01,Canada,Mill B,Gold,2431.6,9183.8,551806.8,2.99,1.45,Budget
2023-03-01,Canada,Mill B,Copper,2645.3,13475.3,1016687.1,3.43,2.58,Budget
2023-03-01,Canada,Mill B,Zinc,3094.9,13018.9,860848.5,2.38,2.21,Budget
2023-03-01,Canada,Mill B,Nickel,3540.8,17663.5,1140283.7,0.76,2.66,Budget
2023-03-01,Holding Company,North Pit,Gold,3999.9,14527.6,833401.9,3.21,1.98,Budget
2023-03-01,Holding Company,North Pit,Copper,1635.5,10037.4,788671.4,1.17,1.98,Actual
2023-03-01,Holding Company,North Pit,Zinc,3523.2,16969.9,622956.6,2.09,0.24,Budget
2023-03-01,Holding Company,North Pit,Nickel,2260.4,14888.9,789479.4,2.48,1.05,Budget
2023-03-01,Holding Company,South Pit,Gold,2609.3,12030.9,742898.0,2.8,2.78,Budget
2023-03-01,Holding Company,South Pit,Copper,2136.3,6241.2,487532.7,1.93,0.18,Actual
2023-03-01,Holding Company,South Pit,Zinc,3101.0,13152.2,707926.9,2.73,1.27,Budget
2023-03-01,Holding Company,South Pit,Nickel,2808.3,8280.4,906346.9,0.64,1.9,Budget
2023-03-01,Holding Company,Mill A,Gold,4548.7,19997.4,828177.8,1.12,0.97,Budget
2023-03-01,Holding Company,Mill A,Copper,2478.6,16376.5,946511.7,3.41,1.45,Actual
2023-03-01,Holding Company,Mill A,Zinc,2587.0,15581.0,951348.5,3.24,1.65,Budget
2023-03-01,Holding Company,Mill A,Nickel,5673.3,16574.8,1051580.4,2.76,1.98,Actual
2023-03-01,Holding Company,Mill B,Gold,2546.0,7745.6,471570.6,0.6,1.01,Actual
2023-03-01,Holding Company,Mill B,Copper,3246.7,8301.6,932495.0,0.84,2.18,Budget
2023-03-01,Holding Company,Mill B,Zinc,2156.2,19138.5,736013.8,3.21,0.85,Budget
2023-03-01,Holding Company,Mill B,Nickel,4205.6,15434.7,899877.3,3.64,0.71,Actual
2023-03-01,Alberta,North Pit,Gold,3502.8,9580.2,1001181.5,3.3,2.18,Budget
2023-03-01,Alberta,North Pit,Copper,3650.3,17526.5,1154236.6,2.97,0.44,Budget
2023-03-01,Alberta,North Pit,Zinc,4990.5,9322.9,611752.8,4.2,2.31,Budget
2023-03-01,Alberta,North Pit,Nickel,2623.6,11209.8,688404.1,2.47,1.98,Budget
2023-03-01,Alberta,South Pit,Gold,3750.7,11413.1,1221779.8,4.83,1.42,Actual
2023-03-01,Alberta,South Pit,Copper,2763.0,15907.7,1047633.3,1.67,0.24,Budget
2023-03-01,Alberta,South Pit,Zinc,4177.5,16046.8,566847.8,2.31,0.58,Budget
2023-03-01,Alberta,South Pit,Nickel,2607.8,19550.4,961614.4,3.64,2.65,Budget
2023-03-01,Alberta,Mill A,Gold,2047.5,12511.4,861929.3,4.25,1.38,Budget
2023-03-01,Alberta,Mill A,Copper,4811.2,8468.0,982230.6,1.28,1.21,Budget
2023-03-01,Alberta,Mill A,Zinc,2248.5,15561.2,1181537.8,0.92,0.79,Budget
2023-03-01,Alberta,Mill A,Nickel,3880.3,19932.6,882857.7,1.45,2.15,Budget
2023-03-01,Alberta,Mill B,Gold,2379.6,10235.6,743496.1,2.66,0.44,Actual
2023-03-01,Alberta,Mill B,Copper,3120.1,22483.0,729313.2,2.86,3.02,Actual
2023-03-01,Alberta,Mill B,Zinc,3812.4,20251.0,1066419.8,5.13,2.64,Actual
2023-03-01,Alberta,Mill B,Nickel,2016.3,13457.8,871453.2,3.07,0.28,Budget
2023-03-01,Quebec,North Pit,Gold,4357.1,11298.1,953960.1,2.26,2.72,Budget
2023-03-01,Quebec,North Pit,Copper,4520.2,10493.8,1175251.2,3.67,2.05,Actual
2023-03-01,Quebec,North Pit,Zinc,2932.9,12349.5,1335951.1,4.35,1.45,Actual
2023-03-01,Quebec,North Pit,Nickel,3083.5,15546.9,952060.3,1.06,1.04,Budget
2023-03-01,Quebec,South Pit,Gold,3339.2,9394.2,726796.1,4.1,2.47,Budget
2023-03-01,Quebec,South Pit,Copper,4021.8,20883.8,1006994.7,0.6,2.29,Actual
2023-03-01,Quebec,South Pit,Zinc,3002.1,8278.9,957476.5,2.82,0.22,Budget
2023-03-01,Quebec,South Pit,Nickel,4760.2,15628.2,1157256.1,3.37,1.8,Budget
2023-03-01,Quebec,Mill A,Gold,4935.0,21914.1,904872.8,0.67,1.57,Actual
