Date,Entity,Site,Commodity,OreProcessed,Grade,RecoveryRate,MetalProduced,Scenario
2023-01-01,British Columbia,Mill B,Nickel,87028.4,0.0071,1.0,246.0,Actual
2023-01-01,Nova Scotia,North Pit,Gold,59347.1,0.00552,1.0,831.1,Actual
2023-01-01,Nova Scotia,North Pit,Copper,80037.0,0.02053,0.9046,31.5,Budget
2023-01-01,Nova Scotia,North Pit,Zinc,99268.0,0.02305,0.7983,1436.4,Budget
2023-01-01,Nova Scotia,North Pit,Nickel,96812.5,0.01317,0.8457,1359.6,Budget
2023-01-01,Nova Scotia,South Pit,Gold,49435.7,0.01283,0.9956,1440.8,Actual
2023-01-01,Nova Scotia,South Pit,Copper,45823.9,0.00838,0.7012,287.7,Budget
2023-01-01,Nova Scotia,South Pit,Zinc,123257.3,0.02095,0.9275,133.7,Actual
2023-01-01,Nova Scotia,South Pit,Nickel,48676.7,0.02474,0.7507,465.9,Budget
2023-01-01,Nova Scotia,Mill A,Gold,60789.0,0.00604,0.7899,423.3,Budget
2023-01-01,Nova Scotia,Mill A,Copper,92157.5,0.02646,0.8873,844.5,Budget
2023-01-01,Nova Scotia,Mill A,Zinc,68288.0,0.00301,0.8861,2317.9,Actual
2023-01-01,Nova Scotia,Mill A,Nickel,62915.4,0.00327,1.0,978.9,Actual
2023-01-01,Nova Scotia,Mill B,Gold,58926.5,0.00717,0.9319,1667.8,Budget
2023-01-01,Nova Scotia,Mill B,Copper,57730.9,0.01101,0.8095,1140.6,Budget
2023-01-01,Nova Scotia,Mill B,Zinc,33619.1,0.00873,0.8562,1055.5,Budget
2023-01-01,Nova Scotia,Mill B,Nickel,106531.5,0.02645,0.9949,477.6,Actual
2023-02-01,Canada,North Pit,Gold,64396.2,0.02047,0.8946,79.1,Actual
2023-02-01,Canada,North Pit,Copper,95121.4,0.00303,0.8051,2030.0,Actual
2023-02-01,Canada,North Pit,Zinc,85170.8,0.00944,0.7934,918.7,Budget
2023-02-01,Canada,North Pit,Nickel,56825.3,0.02679,0.7714,1661.5,Budget
2023-02-01,Canada,South Pit,Gold,35247.6,0.00872,0.7852,751.0,Actual
2023-02-01,Canada,South Pit,Copper,86221.2,0.01395,0.722,43.1,Budget
2023-02-01,Canada,South Pit,Zinc,63024.4,0.02529,0.7266,1180.8,Budget
2023-02-01,Canada,South Pit,Nickel,49391.5,0.01868,0.7473,1471.8,Actual
2023-02-01,Canada,Mill A,Gold,97466.1,0.02302,0.8532,194.4,Budget
2023-02-01,Canada,Mill A,Copper,109640.7,0.01106,1.0,1083.1,Actual
2023-02-01,Canada,Mill A,Zinc,81128.2,0.02784,0.8719,618.2,Actual
2023-02-01,Canada,Mill A,Nickel,42181.4,0.02515,0.8062,990.9,Actual
2023-02-01,Canada,Mill B,Gold,85546.2,0.01404,1.0,691.7,Actual
2023-02-01,Canada,Mill B,Copper,25644.7,0.00109,0.6781,522.9,Actual
2023-02-01,Canada,Mill B,Zinc,123292.9,0.00441,1.0,911.6,Actual
2023-02-01,Canada,Mill B,Nickel,32759.1,0.01476,0.722,826.3,Budget
2023-02-01,Holding Company,North Pit,Gold,47032.6,0.01612,0.8502,243.3,Actual
2023-02-01,Holding Company,North Pit,Copper,51887.1,0.01185,0.7578,1088.6,Budget
2023-02-01,Holding Company,North Pit,Zinc,31230.4,0.00383,0.8307,289.7,Budget
2023-02-01,Holding Company,North Pit,Nickel,48728.9,0.02098,0.9948,2512.2,Actual
2023-02-01,Holding Company,South Pit,Gold,32473.3,0.00481,0.7047,1287.6,Actual
2023-02-01,Holding Company,South Pit,Copper,63300.0,0.002,0.8133,1307.7,Budget
2023-02-01,Holding Company,South Pit,Zinc,76825.0,0.01427,0.8801,1962.5,Budget
2023-02-01,Holding Company,South Pit,Nickel,48359.8,0.02692,0.866,546.7,Budget
2023-02-01,Holding Company,Mill A,Gold,63999.9,0.00239,0.7554,1252.0,Budget
2023-02-01,Holding Company,Mill A,Copper,79002.0,0.00623,0.6131,91.1,Actual
2023-02-01,Holding Company,Mill A,Zinc,42327.7,0.02273,0.763,1235.9,Budget
2023-02-01,Holding Company,Mill A,Nickel,71801.3,0.00975,1.0,967.7,Actual
2023-02-01,Holding Company,Mill B,Gold,115055.9,0.01167,1.0,454.4,Actual
2023-02-01,Holding Company,Mill B,Copper,33671.4,0.01895,0.7313,1213.8,Budget
2023-02-01,Holding Company,Mill B,Zinc,30934.6,0.0034,0.7682,1189.5,Budget
2023-02-01,Holding Company,Mill B,Nickel,69930.6,0.01535,0.7488,1368.5,Actual
2023-02-01,Alberta,North Pit,Gold,38231.1,0.01712,0.7911,145.0,Budget
2023-02-01,Alberta,North Pit,Copper,70856.7,0.01241,0.6776,130.6,Actual
2023-02-01,Alberta,North Pit,Zinc,71779.4,0.00706,0.9111,217.1,Budget
2023-02-01,Alberta,North Pit,Nickel,79252.4,0.02039,0.9028,1740.5,Budget
2023-02-01,Alberta,South Pit,Gold,64664.4,0.02075,0.9438,371.8,Actual
2023-02-01,Alberta,South Pit,Copper,45138.8,0.01442,0.691,1014.3,Actual
2023-02-01,Alberta,South Pit,Zinc,45477.0,0.02154,0.8848,1285.7,Budget
2023-02-01,Alberta,South Pit,Nickel,84176.1,0.01973,1.0,1924.7,Actual
2023-02-01,Alberta,Mill A,Gold,59541.8,0.01547,1.0,1646.8,Actual
2023-02-01,Alberta,Mill A,Copper,78921.5,0.00324,0.9476,572.2,Budget
2023-02-01,Alberta,Mill A,Zinc,68975.3,0.00989,0.8072,1816.4,Actual
2023-02-01,Alberta,Mill A,Nickel,47370.6,0.01982,0.6392,93.4,Actual
2023-02-01,Alberta,Mill B,Gold,83711.6,0.01166,0.8119,1521.7,Actual
2023-02-01,Alberta,Mill B,Copper,82969.6,0.03408,0.8525,423.1,Actual
2023-02-01,Alberta,Mill B,Zinc,33199.1,0.00344,0.7613,1270.8,Actual
2023-02-01,Alberta,Mill B,Nickel,75374.6,0.02649,0.841,285.3,Actual
2023-02-01,Quebec,North Pit,Gold,41903.3,0.02428,0.7136,863.5,Budget
2023-02-01,Quebec,North Pit,Copper,30413.4,0.01503,0.8612,1244.2,Budget
2023-02-01,Quebec,North Pit,Zinc,55021.9,0.01331,0.8997,1312.6,Budget
2023-02-01,Quebec,North Pit,Nickel,35028.2,0.00436,0.9028,51.4,Budget
2023-02-01,Quebec,South Pit,Gold,47939.9,0.01003,0.769,1429.5,Budget
2023-02-01,Quebec,South Pit,Copper,102382.2,0.01251,0.8375,683.9,Actual
2023-02-01,Quebec,South Pit,Zinc,85768.1,0.02475,0.8791,861.2,Budget
2023-02-01,Quebec,South Pit,Nickel,67295.8,0.0217,0.8556,986.8,Budget
2023-02-01,Quebec,Mill A,Gold,56642.3,0.01026,0.9142,253.9,Actual
2023-02-01,Quebec,Mill A,Copper,73274.9,0.01405,0.8758,147.6,Budget
2023-02-01,Quebec,Mill A,Zinc,99329.9,0.0208,0.8983,1084.1,Budget
2023-02-01,Quebec,Mill A,Nickel,72093.2,0.03545,0.9447,495.3,Actual
2023-02-01,Quebec,Mill B,Gold,49265.7,0.02243,0.88,1262.7,Budget
2023-02-01,Quebec,Mill B,Copper,85648.4,0.01917,0.7594,1355.6,Budget
2023-02-01,Quebec,Mill B,Zinc,42275.0,0.01484,0.5759,460.8,Actual
2023-02-01,Quebec,Mill B,Nickel,58881.0,0.00942,0.5212,1053.6,Actual
2023-02-01,Ontario,North Pit,Gold,87455.4,0.02144,0.7002,1473.2,Budget
2023-02-01,Ontario,North Pit,Copper,67562.8,0.01533,0.5976,192.8,Actual
2023-02-01,Ontario,North Pit,Zinc,58008.8,0.00437,0.7127,1157.1,Actual
2023-02-01,Ontario,North Pit,Nickel,42949.4,0.01355,0.7495,1378.9,Budget
2023-02-01,Ontario,South Pit,Gold,91924.5,0.02609,0.9172,1008.8,Budget
2023-02-01,Ontario,South Pit,Copper,90338.5,0.02295,0.9869,1137.0,Actual
2023-02-01,Ontario,South Pit,Zinc,112715.9,0.00921,1.0,1112.8,Actual
2023-02-01,Ontario,South Pit,Nickel,82164.1,0.00665,0.895,270.6,Budget
2023-02-01,Ontario,Mill A,Gold,112237.9,0.03157,0.9344,2464.7,Actual
2023-02-01,Ontario,Mill A,Copper,44954.1,0.02987,0.9299,1490.6,Budget
2023-02-01,Ontario,Mill A,Zinc,41343.4,0.01368,0.6262,1549.1,Actual
2023-02-01,Ontario,Mill A,Nickel,64540.9,0.0182,1.0,950.5,Actual
2023-02-01,Ontario,Mill B,Gold,50727.1,0.00558,0.9188,1860.7,Budget
2023-02-01,Ontario,Mill B,Copper,72428.3,0.01506,1.0,56.4,Actual
2023-02-01,Ontario,Mill B,Zinc,37399.7,0.0153,0.7446,238.4,Budget
2023-02-01,Ontario,Mill B,Nickel,55054.8,0.0083,0.4942,22.2,Actual
2023-02-01,British Columbia,North Pit,Gold,86342.2,0.02853,0.7251,1801.1,Budget
2023-02-01,British Columbia,North Pit,Copper,94937.9,0.00304,0.8201,194.7,Budget
2023-02-01,British Columbia,North Pit,Zinc,42172.8,0.02614,0.821,1165.4,Actual
2023-02-01,British Columbia,North Pit,Nickel,43009.2,0.02367,0.8844,1235.7,Budget
2023-02-01,British Columbia,South Pit,Gold,65290.5,0.03493,1.0,2558.4,Actual
2023-02-01,British Columbia,South Pit,Copper,57400.6,0.00079,0.637,769.0,Actual
2023-02-01,British Columbia,South Pit,Zinc,83958.2,0.01359,0.9048,964.4,Budget
2023-02-01,British Columbia,South Pit,Nickel,91800.2,0.01442,0.7883,1199.1,Budget
2023-02-01,British Columbia,Mill A,Gold,89607.8,0.02169,0.8456,1643.9,Budget
2023-02-01,British Columbia,Mill A,Copper,66380.0,0.03273,1.0,2392.4,Actual
2023-02-01,British Columbia,Mill A,Zinc,90455.7,0.03189,0.9497,1285.7,Actual
2023-02-01,British Columbia,Mill A,Nickel,29099.0,0.01209,0.5445,402.2,Actual
2023-02-01,British Columbia,Mill B,Gold,40798.4,0.02354,0.7485,909.7,Actual
2023-02-01,British Columbia,Mill B,Copper,76858.3,0.02184,0.8413,904.6,Budget
2023-02-01,British Columbia,Mill B,Zinc,54310.2,0.01175,0.7392,1391.6,Actual
2023-02-01,British Columbia,Mill B,Nickel,48233.1,0.00101,0.9494,1445.8,Budget
2023-02-01,Nova Scotia,North Pit,Gold,43688.4,0.02861,0.8415,710.9,Budget
2023-02-01,Nova Scotia,North Pit,Copper,52184.4,0.00489,0.8906,1744.5,Actual
2023-02-01,Nova Scotia,North Pit,Zinc,36783.0,0.02635,0.8919,1475.1,Budget
2023-02-01,Nova Scotia,North Pit,Nickel,42150.5,0.00728,0.6516,668.8,Actual
2023-02-01,Nova Scotia,South Pit,Gold,47927.3,0.00327,0.9542,451.0,Actual
2023-02-01,Nova Scotia,South Pit,Copper,52829.2,0.01226,0.9291,1537.3,Budget
2023-02-01,Nova Scotia,South Pit,Zinc,40668.0,0.01836,0.8435,436.1,Budget
2023-02-01,Nova Scotia,South Pit,Nickel,47529.0,0.01177,0.8368,1656.2,Budget
2023-02-01,Nova Scotia,Mill A,Gold,130526.8,0.00927,0.9824,2240.4,Actual
2023-02-01,Nova Scotia,Mill A,Copper,58203.5,0.0049,0.6542,882.3,Actual
2023-02-01,Nova Scotia,Mill A,Zinc,35080.5,0.01717,0.7432,1638.4,Budget
2023-02-01,Nova Scotia,Mill A,Nickel,37432.9,0.01136,0.9221,487.4,Budget
2023-02-01,Nova Scotia,Mill B,Gold,89111.3,0.02813,0.8382,399.0,Actual
2023-02-01,Nova Scotia,Mill B,Copper,96835.2,0.03043,0.9511,618.3,Actual
2023-02-01,Nova Scotia,Mill B,Zinc,61665.2,0.00893,0.7829,1579.7,Budget
2023-02-01,Nova Scotia,Mill B,Nickel,46574.7,0.01577,0.9329,1052.4,Budget
2023-03-01,Canada,North Pit,Gold,91471.0,0.01623,0.9248,1028.0,Budget
2023-03-01,Canada,North Pit,Copper,70318.0,0.01247,0.9771,70.3,Actual
2023-03-01,Canada,North Pit,Zinc,76773.7,0.00704,0.8042,1807.6,Budget
2023-03-01,Canada,North Pit,Nickel,77930.5,0.00579,0.7888,1352.9,Budget
2023-03-01,Canada,South Pit,Gold,50930.8,0.02086,0.8198,1524.5,Budget
2023-03-01,Canada,South Pit,Copper,56422.3,0.02245,0.8426,1018.4,Budget
2023-03-01,Canada,South Pit,Zinc,32545.7,0.00423,0.8924,1877.5,Budget
2023-03-01,Canada,South Pit,Nickel,51733.9,0.02157,0.7352,1054.0,Budget
2023-03-01,Canada,Mill A,Gold,50075.4,0.01379,0.738,208.5,Budget
2023-03-01,Canada,Mill A,Copper,56784.4,0.01757,0.7434,1244.2,Actual
2023-03-01,Canada,Mill A,Zinc,87598.6,0.02267,0.8677,280.5,Budget
2023-03-01,Canada,Mill A,Nickel,82992.2,0.00101,0.7728,658.2,Actual
2023-03-01,Canada,Mill B,Gold,31019.1,0.006,0.7694,735.7,Budget
2023-03-01,Canada,Mill B,Copper,86057.5,0.0292,0.8703,1433.1,Budget
2023-03-01,Canada,Mill B,Zinc,50586.9,0.02497,0.7304,1930.5,Budget
2023-03-01,Canada,Mill B,Nickel,54426.4,0.00843,0.9579,1608.6,Actual
2023-03-01,Holding Company,North Pit,Gold,92340.8,0.01227,0.9663,1994.4,Actual
2023-03-01,Holding Company,North Pit,Copper,47466.5,0.02318,0.7317,426.4,Budget
2023-03-01,Holding Company,North Pit,Zinc,88806.7,0.02569,0.9277,1214.6,Budget
2023-03-01,Holding Company,North Pit,Nickel,39204.7,0.00365,0.8107,633.8,Budget
2023-03-01,Holding Company,South Pit,Gold,67913.1,0.01699,0.8782,1230.5,Budget
2023-03-01,Holding Company,South Pit,Copper,54612.6,0.01065,0.8858,165.4,Budget
2023-03-01,Holding Company,South Pit,Zinc,59146.0,0.00145,0.5837,532.0,Actual
2023-03-01,Holding Company,South Pit,Nickel,84014.2,0.00845,0.9012,381.4,Budget
2023-03-01,Holding Company,Mill A,Gold,86128.2,0.01951,0.766,103.3,Budget
2023-03-01,Holding Company,Mill A,Copper,63176.2,0.01761,0.6907,288.3,Actual
2023-03-01,Holding Company,Mill A,Zinc,41531.2,0.01104,0.8416,1005.0,Actual
2023-03-01,Holding Company,Mill A,Nickel,62696.0,0.02121,0.9075,54.8,Actual
2023-03-01,Holding Company,Mill B,Gold,80479.1,0.00246,1.0,416.7,Actual
2023-03-01,Holding Company,Mill B,Copper,52505.1,0.02005,0.9165,1079.5,Budget
2023-03-01,Holding Company,Mill B,Zinc,87715.0,0.02428,0.8864,1232.9,Budget
2023-03-01,Holding Company,Mill B,Nickel,91362.3,0.00221,0.9133,1744.5,Budget
2023-03-01,Alberta,North Pit,Gold,64371.8,0.01356,1.0,2238.2,Actual
2023-03-01,Alberta,North Pit,Copper,93124.3,0.01888,0.7588,721.7,Budget
2023-03-01,Alberta,North Pit,Zinc,94907.0,0.00381,0.859,1767.8,Actual
2023-03-01,Alberta,North Pit,Nickel,56494.0,0.02133,0.5859,1072.8,Actual
2023-03-01,Alberta,South Pit,Gold,31423.3,0.01083,0.8019,327.2,Budget
2023-03-01,Alberta,South Pit,Copper,48157.5,0.0196,0.5512,972.5,Actual
2023-03-01,Alberta,South Pit,Zinc,32181.1,0.02752,0.7325,1466.0,Budget
2023-03-01,Alberta,South Pit,Nickel,94033.7,0.01742,0.7656,1832.1,Budget
2023-03-01,Alberta,Mill A,Gold,56043.4,0.02007,0.7567,669.7,Budget
2023-03-01,Alberta,Mill A,Copper,41524.9,0.01632,0.7005,665.1,Actual
2023-03-01,Alberta,Mill A,Zinc,69915.0,0.017,0.7222,811.3,Budget
2023-03-01,Alberta,Mill A,Nickel,104888.5,0.0272,0.9761,487.6,Actual
2023-03-01,Alberta,Mill B,Gold,66677.7,0.0015,0.8894,1692.9,Budget
2023-03-01,Alberta,Mill B,Copper,48794.7,0.00714,0.8584,810.0,Budget
2023-03-01,Alberta,Mill B,Zinc,87123.2,0.00819,0.8989,781.5,Actual
2023-03-01,Alberta,Mill B,Nickel,48391.0,0.00303,0.7902,896.1,Budget
2023-03-01,Quebec,North Pit,Gold,65013.5,0.01912,0.9071,1446.4,Actual
2023-03-01,Quebec,North Pit,Copper,33207.9,0.02353,0.8894,1873.0,Budget
2023-03-01,Quebec,North Pit,Zinc,74029.2,0.01809,0.757,233.0,Budget
2023-03-01,Quebec,North Pit,Nickel,81020.1,0.02679,0.7535,109.8,Budget
2023-03-01,Quebec,South Pit,Gold,101606.8,0.02533,0.9381,1692.0,Actual
2023-03-01,Quebec,South Pit,Copper,68722.1,0.02219,0.7766,1209.4,Budget
2023-03-01,Quebec,South Pit,Zinc,44481.6,0.00302,0.7281,863.0,Actual
2023-03-01,Quebec,South Pit,Nickel,72421.8,0.00283,0.6366,740.8,Actual
2023-03-01,Quebec,Mill A,Gold,40066.8,0.02091,1.0,450.5,Actual
2023-03-01,Quebec,Mill A,Copper,95371.1,0.01889,0.8598,515.5,Budget
2023-03-01,Quebec,Mill A,Zinc,98127.1,0.01416,0.9005,1026.8,Budget
2023-03-01,Quebec,Mill A,Nickel,57948.8,0.00781,0.7287,539.7,Budget
2023-03-01,Quebec,Mill B,Gold,60380.6,0.00305,0.8094,1176.9,Budget
2023-03-01,Quebec,Mill B,Copper,89153.1,0.01177,0.7474,507.5,Actual
2023-03-01,Quebec,Mill B,Zinc,71445.8,0.0214,0.8187,1830.4,Budget
2023-03-01,Quebec,Mill B,Nickel,48257.8,0.0273,0.8002,1892.5,Budget
2023-03-01,Ontario,North Pit,Gold,84539.8,0.02973,0.9315,1752.2,Budget
2023-03-01,Ontario,North Pit,Copper,61845.3,0.02503,0.8821,1529.4,Budget
2023-03-01,Ontario,North Pit,Zinc,67092.7,0.01327,0.7251,919.9,Budget
2023-03-01,Ontario,North Pit,Nickel,82277.3,0.01009,1.0,107.2,Actual
2023-03-01,Ontario,South Pit,Gold,67876.3,0.0088,0.9498,2244.3,Actual
2023-03-01,Ontario,South Pit,Copper,61607.1,0.00612,0.9352,1132.5,Budget
2023-03-01,Ontario,South Pit,Zinc,95825.7,0.02623,0.7501,1958.3,Budget
2023-03-01,Ontario,South Pit,Nickel,103658.9,0.01929,0.9419,1549.7,Actual
2023-03-01,Ontario,Mill A,Gold,90683.6,0.00697,0.8864,336.6,Actual
2023-03-01,Ontario,Mill A,Copper,67509.5,0.00993,0.9057,1517.7,Budget
2023-03-01,Ontario,Mill A,Zinc,63074.8,0.011,0.547,1089.3,Actual
2023-03-01,Ontario,Mill A,Nickel,58538.3,0.00893,0.8275,632.5,Budget
2023-03-01,Ontario,Mill B,Gold,71000.4,0.00197,0.8904,204.0,Budget
2023-03-01,Ontario,Mill B,Copper,99540.2,0.02191,0.744,1180.6,Budget
2023-03-01,Ontario,Mill B,Zinc,132835.8,0.01128,1.0,500.8,Actual
2023-03-01,Ontario,Mill B,Nickel,63752.0,0.02993,1.0,2007.6,Actual
2023-03-01,British Columbia,North Pit,Gold,90607.9,0.02522,0.7725,660.2,Actual
2023-03-01,British Columbia,North Pit,Copper,56415.3,0.02324,0.705,456.7,Budget
2023-03-01,British Columbia,North Pit,Zinc,37494.4,0.00487,1.0,2043.6,Actual
