Date,Entity,Site,Commodity,Headcount,TrainingHours,ContractorRatio,Scenario
2023-01-01,Quebec,Mill A,Gold,150.0,5.1,0.26,Budget
2023-01-01,Quebec,Mill A,Copper,91.6,2.0,0.28,Actual
2023-01-01,Quebec,Mill A,Zinc,109.6,8.5,0.36,Actual
2023-01-01,Quebec,Mill A,Nickel,155.2,10.9,0.42,Actual
2023-01-01,Quebec,Mill B,Gold,148.3,5.0,0.24,Actual
2023-01-01,Quebec,Mill B,Copper,172.7,9.7,0.4,Budget
2023-01-01,Quebec,Mill B,Zinc,179.6,7.9,0.36,Actual
2023-01-01,Quebec,Mill B,Nickel,140.5,5.2,0.14,Actual
2023-01-01,Ontario,North Pit,Gold,147.7,5.8,0.33,Budget
2023-01-01,Ontario,North Pit,Copper,158.2,4.5,0.31,Budget
2023-01-01,Ontario,North Pit,Zinc,161.9,8.8,0.14,Actual
2023-01-01,Ontario,North Pit,Nickel,127.1,2.1,0.28,Budget
2023-01-01,Ontario,South Pit,Gold,123.1,4.3,0.11,Budget
2023-01-01,Ontario,South Pit,Copper,158.3,7.6,0.2,Budget
2023-01-01,Ontario,South Pit,Zinc,168.7,8.4,0.33,Budget
2023-01-01,Ontario,South Pit,Nickel,150.8,7.9,0.32,Actual
2023-01-01,Ontario,Mill A,Gold,159.1,8.0,0.32,Budget
2023-01-01,Ontario,Mill A,Copper,145.5,3.6,0.18,Budget
2023-01-01,Ontario,Mill A,Zinc,159.4,6.6,0.31,Budget
2023-01-01,Ontario,Mill A,Nickel,145.4,6.0,0.13,Actual
2023-01-01,Ontario,Mill B,Gold,159.6,5.2,0.26,Budget
2023-01-01,Ontario,Mill B,Copper,151.8,8.6,0.34,Budget
2023-01-01,Ontario,Mill B,Zinc,138.7,7.7,0.19,Actual
2023-01-01,Ontario,Mill B,Nickel,140.7,4.8,0.37,Actual
2023-01-01,British Columbia,North Pit,Gold,120.1,3.2,0.09,Actual
2023-01-01,British Columbia,North Pit,Copper,161.2,8.7,0.46,Budget
2023-01-01,British Columbia,North Pit,Zinc,161.7,6.6,0.3,Budget
2023-01-01,British Columbia,North Pit,Nickel,99.0,3.3,0.31,Actual
2023-01-01,British Columbia,South Pit,Gold,178.5,4.7,0.22,Budget
2023-01-01,British Columbia,South Pit,Copper,136.5,2.2,0.42,Actual
2023-01-01,British Columbia,South Pit,Zinc,168.0,11.2,0.6,Actual
2023-01-01,British Columbia,South Pit,Nickel,179.8,3.5,0.17,Actual
2023-01-01,British Columbia,Mill A,Gold,150.7,3.9,0.44,Actual
2023-01-01,British Columbia,Mill A,Copper,233.7,4.5,0.33,Actual
2023-01-01,British Columbia,Mill A,Zinc,138.9,7.8,0.5,Actual
2023-01-01,British Columbia,Mill A,Nickel,156.4,3.4,0.41,Budget
2023-01-01,British Columbia,Mill B,Gold,157.9,7.2,0.27,Budget
2023-01-01,British Columbia,Mill B,Copper,130.5,3.8,0.12,Actual
2023-01-01,British Columbia,Mill B,Zinc,150.5,6.9,0.47,Actual
2023-01-01,British Columbia,Mill B,Nickel,220.6,7.7,0.64,Actual
2023-01-01,Nova Scotia,North Pit,Gold,93.4,4.9,0.14,Actual
2023-01-01,Nova Scotia,North Pit,Copper,119.3,5.4,0.11,Actual
2023-01-01,Nova Scotia,North Pit,Zinc,164.5,4.3,0.35,Actual
2023-01-01,Nova Scotia,North Pit,Nickel,128.0,5.1,0.22,Actual
2023-01-01,Nova Scotia,South Pit,Gold,146.3,6.8,0.32,Actual
2023-01-01,Nova Scotia,South Pit,Copper,167.4,11.9,0.48,Actual
2023-01-01,Nova Scotia,South Pit,Zinc,172.8,8.7,0.35,Actual
2023-01-01,Nova Scotia,South Pit,Nickel,166.1,7.7,0.38,Actual
2023-01-01,Nova Scotia,Mill A,Gold,145.1,1.9,0.13,Actual
2023-01-01,Nova Scotia,Mill A,Copper,124.0,7.0,0.25,Actual
2023-01-01,Nova Scotia,Mill A,Zinc,128.8,7.4,0.49,Budget
2023-01-01,Nova Scotia,Mill A,Nickel,104.4,7.0,0.25,Actual
2023-01-01,Nova Scotia,Mill B,Gold,183.4,2.3,0.22,Actual
2023-01-01,Nova Scotia,Mill B,Copper,119.4,4.0,0.2,Actual
2023-01-01,Nova Scotia,Mill B,Zinc,164.0,9.1,0.33,Budget
2023-01-01,Nova Scotia,Mill B,Nickel,174.8,6.9,0.45,Budget
2023-02-01,Canada,North Pit,Gold,111.5,3.6,0.2,Actual
2023-02-01,Canada,North Pit,Copper,143.3,3.0,0.42,Budget
2023-02-01,Canada,North Pit,Zinc,204.1,10.2,0.52,Actual
2023-02-01,Canada,North Pit,Nickel,164.2,9.5,0.42,Budget
2023-02-01,Canada,South Pit,Gold,142.8,2.9,0.28,Actual
2023-02-01,Canada,South Pit,Copper,169.4,8.9,0.39,Budget
2023-02-01,Canada,South Pit,Zinc,187.9,10.0,0.47,Actual
2023-02-01,Canada,South Pit,Nickel,140.1,2.8,0.36,Actual
2023-02-01,Canada,Mill A,Gold,162.4,8.4,0.3,Actual
2023-02-01,Canada,Mill A,Copper,166.2,8.9,0.37,Actual
2023-02-01,Canada,Mill A,Zinc,170.7,5.9,0.32,Budget
2023-02-01,Canada,Mill A,Nickel,142.1,6.1,0.24,Budget
2023-02-01,Canada,Mill B,Gold,175.0,6.8,0.17,Actual
2023-02-01,Canada,Mill B,Copper,141.4,8.7,0.28,Budget
2023-02-01,Canada,Mill B,Zinc,143.9,6.4,0.42,Actual
2023-02-01,Canada,Mill B,Nickel,159.2,5.9,0.26,Budget
2023-02-01,Holding Company,North Pit,Gold,139.8,7.2,0.37,Actual
2023-02-01,Holding Company,North Pit,Copper,159.5,9.2,0.46,Budget
2023-02-01,Holding Company,North Pit,Zinc,141.7,4.0,0.11,Budget
2023-02-01,Holding Company,North Pit,Nickel,150.2,4.7,0.41,Actual
2023-02-01,Holding Company,South Pit,Gold,131.7,3.5,0.12,Budget
2023-02-01,Holding Company,South Pit,Copper,179.2,8.7,0.15,Budget
2023-02-01,Holding Company,South Pit,Zinc,121.4,6.8,0.44,Budget
2023-02-01,Holding Company,South Pit,Nickel,161.6,4.9,0.3,Actual
2023-02-01,Holding Company,Mill A,Gold,151.9,4.1,0.26,Actual
2023-02-01,Holding Company,Mill A,Copper,85.4,6.9,0.08,Actual
2023-02-01,Holding Company,Mill A,Zinc,173.5,2.6,0.11,Budget
2023-02-01,Holding Company,Mill A,Nickel,126.6,4.0,0.35,Budget
2023-02-01,Holding Company,Mill B,Gold,205.2,8.7,0.19,Actual
2023-02-01,Holding Company,Mill B,Copper,126.1,3.9,0.17,Budget
2023-02-01,Holding Company,Mill B,Zinc,152.3,3.2,0.37,Actual
2023-02-01,Holding Company,Mill B,Nickel,165.6,4.8,0.41,Actual
2023-02-01,Alberta,North Pit,Gold,115.1,6.0,0.08,Actual
2023-02-01,Alberta,North Pit,Copper,142.7,3.3,0.28,Actual
2023-02-01,Alberta,North Pit,Zinc,220.5,7.7,0.59,Actual
2023-02-01,Alberta,North Pit,Nickel,175.5,7.2,0.53,Actual
2023-02-01,Alberta,South Pit,Gold,141.6,5.5,0.47,Budget
2023-02-01,Alberta,South Pit,Copper,171.2,5.5,0.44,Budget
2023-02-01,Alberta,South Pit,Zinc,151.8,8.2,0.45,Actual
2023-02-01,Alberta,South Pit,Nickel,166.8,6.5,0.31,Budget
2023-02-01,Alberta,Mill A,Gold,122.7,4.9,0.14,Budget
2023-02-01,Alberta,Mill A,Copper,175.9,4.8,0.38,Actual
2023-02-01,Alberta,Mill A,Zinc,163.8,11.6,0.14,Actual
2023-02-01,Alberta,Mill A,Nickel,202.1,3.2,0.41,Actual
2023-02-01,Alberta,Mill B,Gold,136.1,4.3,0.3,Actual
2023-02-01,Alberta,Mill B,Copper,173.4,6.9,0.25,Actual
2023-02-01,Alberta,Mill B,Zinc,161.2,11.3,0.3,Actual
2023-02-01,Alberta,Mill B,Nickel,175.7,6.1,0.28,Budget
2023-02-01,Quebec,North Pit,Gold,190.2,8.1,0.36,Actual
2023-02-01,Quebec,North Pit,Copper,179.3,5.5,0.3,Actual
2023-02-01,Quebec,North Pit,Zinc,152.8,7.1,0.36,Budget
2023-02-01,Quebec,North Pit,Nickel,136.9,5.8,0.45,Actual
2023-02-01,Quebec,South Pit,Gold,158.8,3.8,0.3,Budget
2023-02-01,Quebec,South Pit,Copper,147.8,7.6,0.1,Budget
2023-02-01,Quebec,South Pit,Zinc,157.9,7.8,0.46,Budget
2023-02-01,Quebec,South Pit,Nickel,150.7,7.3,0.19,Budget
2023-02-01,Quebec,Mill A,Gold,133.3,9.6,0.39,Budget
2023-02-01,Quebec,Mill A,Copper,117.6,2.5,0.08,Actual
2023-02-01,Quebec,Mill A,Zinc,168.0,9.4,0.32,Budget
2023-02-01,Quebec,Mill A,Nickel,177.8,8.5,0.35,Actual
2023-02-01,Quebec,Mill B,Gold,138.2,9.2,0.43,Budget
2023-02-01,Quebec,Mill B,Copper,156.6,2.5,0.48,Budget
2023-02-01,Quebec,Mill B,Zinc,125.1,8.7,0.28,Budget
2023-02-01,Quebec,Mill B,Nickel,139.2,5.4,0.32,Budget
2023-02-01,Ontario,North Pit,Gold,118.8,6.3,0.22,Actual
2023-02-01,Ontario,North Pit,Copper,172.3,6.4,0.41,Budget
2023-02-01,Ontario,North Pit,Zinc,165.3,5.5,0.3,Actual
2023-02-01,Ontario,North Pit,Nickel,161.4,4.5,0.37,Budget
2023-02-01,Ontario,South Pit,Gold,175.0,9.5,0.44,Budget
2023-02-01,Ontario,South Pit,Copper,112.7,7.1,0.16,Actual
2023-02-01,Ontario,South Pit,Zinc,129.8,8.0,0.19,Budget
2023-02-01,Ontario,South Pit,Nickel,89.4,3.0,0.24,Actual
2023-02-01,Ontario,Mill A,Gold,133.4,5.3,0.28,Budget
2023-02-01,Ontario,Mill A,Copper,120.1,7.0,0.22,Budget
2023-02-01,Ontario,Mill A,Zinc,133.6,6.2,0.35,Budget
2023-02-01,Ontario,Mill A,Nickel,205.4,9.6,0.34,Actual
2023-02-01,Ontario,Mill B,Gold,164.3,6.6,0.27,Budget
2023-02-01,Ontario,Mill B,Copper,175.0,3.8,0.47,Budget
2023-02-01,Ontario,Mill B,Zinc,156.2,5.4,0.42,Budget
2023-02-01,Ontario,Mill B,Nickel,154.7,7.4,0.26,Actual
2023-02-01,British Columbia,North Pit,Gold,148.4,5.2,0.45,Actual
2023-02-01,British Columbia,North Pit,Copper,142.9,7.2,0.34,Budget
2023-02-01,British Columbia,North Pit,Zinc,190.8,4.6,0.48,Actual
2023-02-01,British Columbia,North Pit,Nickel,168.4,7.8,0.15,Budget
2023-02-01,British Columbia,South Pit,Gold,127.8,2.9,0.27,Budget
2023-02-01,British Columbia,South Pit,Copper,122.1,2.0,0.21,Actual
2023-02-01,British Columbia,South Pit,Zinc,120.3,3.4,0.4,Budget
2023-02-01,British Columbia,South Pit,Nickel,191.9,10.5,0.43,Actual
2023-02-01,British Columbia,Mill A,Gold,139.3,3.4,0.46,Actual
2023-02-01,British Columbia,Mill A,Copper,89.2,3.7,0.08,Actual
2023-02-01,British Columbia,Mill A,Zinc,157.9,4.2,0.24,Budget
2023-02-01,British Columbia,Mill A,Nickel,112.7,5.1,0.46,Actual
2023-02-01,British Columbia,Mill B,Gold,190.2,7.0,0.35,Actual
2023-02-01,British Columbia,Mill B,Copper,151.5,8.1,0.34,Budget
2023-02-01,British Columbia,Mill B,Zinc,157.9,8.7,0.48,Actual
2023-02-01,British Columbia,Mill B,Nickel,154.3,4.5,0.26,Actual
2023-02-01,Nova Scotia,North Pit,Gold,135.9,5.6,0.18,Budget
2023-02-01,Nova Scotia,North Pit,Copper,146.8,5.9,0.28,Budget
2023-02-01,Nova Scotia,North Pit,Zinc,133.0,4.5,0.14,Actual
2023-02-01,Nova Scotia,North Pit,Nickel,165.1,4.3,0.24,Budget
2023-02-01,Nova Scotia,South Pit,Gold,177.0,6.7,0.5,Actual
2023-02-01,Nova Scotia,South Pit,Copper,147.7,8.1,0.44,Budget
2023-02-01,Nova Scotia,South Pit,Zinc,141.7,11.1,0.21,Actual
2023-02-01,Nova Scotia,South Pit,Nickel,191.9,7.3,0.58,Actual
2023-02-01,Nova Scotia,Mill A,Gold,163.8,6.2,0.22,Actual
2023-02-01,Nova Scotia,Mill A,Copper,147.0,3.7,0.24,Budget
2023-02-01,Nova Scotia,Mill A,Zinc,161.1,5.0,0.18,Budget
2023-02-01,Nova Scotia,Mill A,Nickel,164.0,9.3,0.31,Budget
2023-02-01,Nova Scotia,Mill B,Gold,129.0,8.3,0.13,Budget
2023-02-01,Nova Scotia,Mill B,Copper,156.5,9.1,0.34,Budget
2023-02-01,Nova Scotia,Mill B,Zinc,193.6,10.0,0.53,Actual
2023-02-01,Nova Scotia,Mill B,Nickel,120.7,3.0,0.26,Budget
2023-03-01,Canada,North Pit,Gold,168.0,2.6,0.47,Budget
2023-03-01,Canada,North Pit,Copper,177.2,8.3,0.21,Budget
2023-03-01,Canada,North Pit,Zinc,126.3,2.2,0.31,Budget
2023-03-01,Canada,North Pit,Nickel,125.8,5.2,0.33,Actual
2023-03-01,Canada,South Pit,Gold,178.6,5.1,0.25,Actual
2023-03-01,Canada,South Pit,Copper,148.2,5.8,0.11,Actual
2023-03-01,Canada,South Pit,Zinc,142.2,7.8,0.31,Budget
2023-03-01,Canada,South Pit,Nickel,189.2,7.9,0.34,Actual
2023-03-01,Canada,Mill A,Gold,138.5,6.5,0.37,Budget
2023-03-01,Canada,Mill A,Copper,155.5,6.9,0.2,Budget
2023-03-01,Canada,Mill A,Zinc,131.1,9.0,0.15,Budget
2023-03-01,Canada,Mill A,Nickel,178.0,5.3,0.45,Budget
2023-03-01,Canada,Mill B,Gold,172.8,6.2,0.48,Budget
2023-03-01,Canada,Mill B,Copper,91.1,6.2,0.22,Actual
2023-03-01,Canada,Mill B,Zinc,106.8,4.5,0.14,Actual
2023-03-01,Canada,Mill B,Nickel,173.3,4.9,0.31,Actual
2023-03-01,Holding Company,North Pit,Gold,157.9,7.7,0.49,Actual
2023-03-01,Holding Company,North Pit,Copper,149.5,7.2,0.13,Budget
2023-03-01,Holding Company,North Pit,Zinc,222.5,3.4,0.15,Actual
2023-03-01,Holding Company,North Pit,Nickel,111.8,3.8,0.22,Actual
2023-03-01,Holding Company,South Pit,Gold,103.7,3.8,0.3,Actual
2023-03-01,Holding Company,South Pit,Copper,135.3,5.0,0.22,Budget
2023-03-01,Holding Company,South Pit,Zinc,134.0,7.0,0.35,Budget
2023-03-01,Holding Company,South Pit,Nickel,165.7,5.1,0.14,Budget
2023-03-01,Holding Company,Mill A,Gold,147.8,2.9,0.11,Actual
2023-03-01,Holding Company,Mill A,Copper,113.6,1.6,0.25,Actual
2023-03-01,Holding Company,Mill A,Zinc,80.2,4.4,0.19,Actual
2023-03-01,Holding Company,Mill A,Nickel,191.7,4.5,0.3,Actual
2023-03-01,Holding Company,Mill B,Gold,140.2,3.7,0.42,Budget
2023-03-01,Holding Company,Mill B,Copper,108.2,6.3,0.07,Actual
2023-03-01,Holding Company,Mill B,Zinc,121.4,10.0,0.29,Budget
2023-03-01,Holding Company,Mill B,Nickel,138.7,7.4,0.48,Budget
2023-03-01,Alberta,North Pit,Gold,169.8,6.8,0.49,Actual
2023-03-01,Alberta,North Pit,Copper,98.4,5.2,0.33,Actual
2023-03-01,Alberta,North Pit,Zinc,154.6,7.1,0.42,Budget
2023-03-01,Alberta,North Pit,Nickel,148.4,3.2,0.32,Actual
2023-03-01,Alberta,South Pit,Gold,212.8,6.1,0.28,Actual
2023-03-01,Alberta,South Pit,Copper,171.9,2.5,0.33,Actual
2023-03-01,Alberta,South Pit,Zinc,190.0,6.7,0.25,Actual
2023-03-01,Alberta,South Pit,Nickel,158.9,4.7,0.37,Actual
2023-03-01,Alberta,Mill A,Gold,138.3,7.4,0.21,Budget
2023-03-01,Alberta,Mill A,Copper,169.6,7.3,0.36,Budget
2023-03-01,Alberta,Mill A,Zinc,109.4,4.4,0.35,Actual
2023-03-01,Alberta,Mill A,Nickel,107.0,3.0,0.37,Actual
2023-03-01,Alberta,Mill B,Gold,120.8,8.4,0.17,Budget
2023-03-01,Alberta,Mill B,Copper,153.6,6.0,0.37,Actual
2023-03-01,Alberta,Mill B,Zinc,112.8,5.3,0.32,Actual
2023-03-01,Alberta,Mill B,Nickel,172.7,2.9,0.11,Actual
2023-03-01,Quebec,North Pit,Gold,173.7,5.4,0.46,Budget
2023-03-01,Quebec,North Pit,Copper,143.6,5.2,0.19,Actual
2023-03-01,Quebec,North Pit,Zinc,160.1,9.9,0.24,Budget
2023-03-01,Quebec,North Pit,Nickel,169.5,3.0,0.2,Budget
2023-03-01,Quebec,South Pit,Gold,123.8,5.0,0.37,Budget
2023-03-01,Quebec,South Pit,Copper,213.1,10.8,0.25,Actual
2023-03-01,Quebec,South Pit,Zinc,119.1,3.7,0.2,Actual
2023-03-01,Quebec,South Pit,Nickel,127.9,10.0,0.26,Budget
2023-03-01,Quebec,Mill A,Gold,174.6,5.5,0.36,Actual
2023-03-01,Quebec,Mill A,Copper,155.7,9.2,0.14,Actual
2023-03-01,Quebec,Mill A,Zinc,152.9,6.8,0.13,Budget
2023-03-01,Quebec,Mill A,Nickel,120.8,2.8,0.26,Budget
2023-03-01,Quebec,Mill B,Gold,90.7,2.0,0.21,Actual
2023-03-01,Quebec,Mill B,Copper,128.2,9.1,0.45,Budget
2023-03-01,Quebec,Mill B,Zinc,140.5,4.5,0.39,Budget
2023-03-01,Quebec,Mill B,Nickel,120.3,4.7,0.38,Actual
2023-03-01,Ontario,North Pit,Gold,132.5,4.8,0.29,Budget
2023-03-01,Ontario,North Pit,Copper,158.6,6.1,0.25,Actual
2023-03-01,Ontario,North Pit,Zinc,124.8,4.5,0.44,Actual
2023-03-01,Ontario,North Pit,Nickel,161.7,4.4,0.34,Budget
2023-03-01,Ontario,South Pit,Gold,165.6,3.2,0.17,Budget
2023-03-01,Ontario,South Pit,Copper,146.4,5.2,0.18,Actual
2023-03-01,Ontario,South Pit,Zinc,167.3,5.2,0.44,Budget
2023-03-01,Ontario,South Pit,Nickel,141.7,7.0,0.16,Budget
2023-03-01,Ontario,Mill A,Gold,100.6,5.7,0.08,Actual
2023-03-01,Ontario,Mill A,Copper,216.6,10.2,0.31,Actual
2023-03-01,Ontario,Mill A,Zinc,109.2,6.9,0.21,Actual
2023-03-01,Ontario,Mill A,Nickel,149.5,3.4,0.33,Actual
2023-03-01,Ontario,Mill B,Gold,161.6,6.0,0.1,Budget
2023-03-01,Ontario,Mill B,Copper,143.8,8.4,0.41,Budget
2023-03-01,Ontario,Mill B,Zinc,127.2,2.4,0.27,Budget
2023-03-01,Ontario,Mill B,Nickel,192.4,4.8,0.15,Actual
2023-03-01,British Columbia,North Pit,Gold,131.0,6.8,0.21,Budget
2023-03-01,British Columbia,North Pit,Copper,148.1,9.0,0.14,Budget
2023-03-01,British Columbia,North Pit,Zinc,138.2,4.3,0.15,Actual
2023-03-01,British Columbia,North Pit,Nickel,134.8,4.6,0.23,Actual
2023-03-01,British Columbia,South Pit,Gold,157.9,4.3,0.32,Budget
2023-03-01,British Columbia,South Pit,Copper,151.8,9.3,0.19,Actual
2023-03-01,British Columbia,South Pit,Zinc,156.5,5.0,0.14,Budget
2023-03-01,British Columbia,South Pit,Nickel,161.1,3.7,0.33,Budget
2023-03-01,British Columbia,Mill A,Gold,169.2,3.4,0.12,Budget
2023-03-01,British Columbia,Mill A,Copper,138.8,2.9,0.5,Budget
2023-03-01,British Columbia,Mill A,Zinc,136.9,9.0,0.28,Budget
2023-03-01,British Columbia,Mill A,Nickel,137.8,5.8,0.14,Budget
2023-03-01,British Columbia,Mill B,Gold,146.9,9.4,0.42,Budget
2023-03-01,British Columbia,Mill B,Copper,155.4,7.8,0.47,Budget
2023-03-01,British Columbia,Mill B,Zinc,173.1,9.1,0.21,Budget
2023-03-01,British Columbia,Mill B,Nickel,179.9,8.1,0.27,Budget
2023-03-01,Nova Scotia,North Pit,Gold,142.4,8.2,0.43,Budget
2023-03-01,Nova Scotia,North Pit,Copper,120.8,8.9,0.23,Actual
2023-03-01,Nova Scotia,North Pit,Zinc,169.3,5.4,0.21,Budget
2023-03-01,Nova Scotia,North Pit,Nickel,193.5,5.0,0.57,Actual
2023-03-01,Nova Scotia,South Pit,Gold,183.0,9.1,0.54,Actual
2023-03-01,Nova Scotia,South Pit,Copper,124.6,5.4,0.15,Actual
2023-03-01,Nova Scotia,South Pit,Zinc,107.6,5.3,0.32,Actual
2023-03-01,Nova Scotia,South Pit,Nickel,134.8,2.3,0.22,Actual
2023-03-01,Nova Scotia,Mill A,Gold,139.2,4.1,0.35,Actual
2023-03-01,Nova Scotia,Mill A,Copper,120.7,4.8,0.21,Actual
2023-03-01,Nova Scotia,Mill A,Zinc,127.4,2.5,0.48,Budget
2023-03-01,Nova Scotia,Mill A,Nickel,217.1,8.1,0.39,Actual
2023-03-01,Nova Scotia,Mill B,Gold,111.6,6.9,0.35,Actual
2023-03-01,Nova Scotia,Mill B,Copper,110.2,4.0,0.21,Actual
2023-03-01,Nova Scotia,Mill B,Zinc,159.8,5.9,0.26,Budget
2023-03-01,Nova Scotia,Mill B,Nickel,148.7,4.2,0.35,Budget
2023-04-01,Canada,North Pit,Gold,162.8,5.7,0.26,Budget
2023-04-01,Canada,North Pit,Copper,112.5,1.6,0.08,Actual
2023-04-01,Canada,North Pit,Zinc,150.0,2.9,0.34,Budget
2023-04-01,Canada,North Pit,Nickel,137.9,8.7,0.22,Actual
2023-04-01,Canada,South Pit,Gold,173.2,3.7,0.11,Budget
2023-04-01,Canada,South Pit,Copper,132.6,5.5,0.4,Budget
2023-04-01,Canada,South Pit,Zinc,188.2,12.3,0.58,Actual
2023-04-01,Canada,South Pit,Nickel,165.3,9.0,0.44,Actual
2023-04-01,Canada,Mill A,Gold,146.4,4.4,0.31,Actual
2023-04-01,Canada,Mill A,Copper,156.6,4.5,0.36,Actual
2023-04-01,Canada,Mill A,Zinc,147.9,6.5,0.35,Actual
2023-04-01,Canada,Mill A,Nickel,135.6,4.6,0.11,Actual
2023-04-01,Canada,Mill B,Gold,173.2,11.5,0.41,Actual
2023-04-01,Canada,Mill B,Copper,95.3,2.8,0.09,Actual
2023-04-01,Canada,Mill B,Zinc,111.3,5.9,0.1,Actual
2023-04-01,Canada,Mill B,Nickel,146.5,8.2,0.33,Budget
2023-04-01,Holding Company,North Pit,Gold,146.0,2.4,0.19,Budget
2023-04-01,Holding Company,North Pit,Copper,152.9,3.2,0.42,Actual
2023-04-01,Holding Company,North Pit,Zinc,118.7,2.1,0.42,Actual
2023-04-01,Holding Company,North Pit,Nickel,206.0,11.5,0.48,Actual
2023-04-01,Holding Company,South Pit,Gold,156.7,2.9,0.41,Actual
2023-04-01,Holding Company,South Pit,Copper,125.7,5.3,0.48,Budget
2023-04-01,Holding Company,South Pit,Zinc,160.2,4.0,0.47,Budget
2023-04-01,Holding Company,South Pit,Nickel,144.5,2.8,0.26,Budget
2023-04-01,Holding Company,Mill A,Gold,180.2,7.1,0.33,Actual
2023-04-01,Holding Company,Mill A,Copper,105.6,7.5,0.33,Actual
2023-04-01,Holding Company,Mill A,Zinc,171.4,4.1,0.28,Budget
2023-04-01,Holding Company,Mill A,Nickel,122.0,4.1,0.31,Budget
2023-04-01,Holding Company,Mill B,Gold,179.5,8.9,0.26,Budget
2023-04-01,Holding Company,Mill B,Copper,212.3,6.6,0.55,Actual
